OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,latitude,longitude
35,ACI TRUCK STOP,US-46,Columbia,NJ,90,3.079,40.9199327,-75.08675
49,TA SEYMOUR TRAVEL CENTER,"I-65, EXIT 50 & US-50 & US-31",Seymour,IN,415,3.959,,
128,THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham                               ,IL,510,3.399,,
128,THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham                               ,IL,510,3.349,,
128,THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham                               ,IL,510,3.549,,
135,LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,290,3.589,,
135,LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,290,3.389,,
135,LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,290,3.449,,
147,SPEEDWAY #8039,"I-69, EXIT 234 & SR-67",Daleville,IN,375,3.624,,
149,RAYS TRUCK WASH,"I-69, EXIT 309 & US-30",Fort Wayne                              ,IN,370,3.59233333,,
164,FLYING J TRAVEL PLAZA #650,"I-94, EXIT 15 B",Lake Station                            ,IN,365,3.809,,
167,FLYING J TRAVEL PLAZA #653,RT 2 & I-65 EXIT 240,Hebron,IN,365,3.43566666,,
203,PILOT TRAVEL CENTER #31,"I-80/94, EXIT 2",Highland,IN,365,3.829,,
203,PILOT TRAVEL CENTERS #31,"I-80/94, EXIT 2",Highland,IN,365,3.799,,
207,MARATHON,SR-32,Sardinia                                ,OH,300,3.56566666,38.9897914,-83.7622621
243,SAVE,US-41 & SR-10,Lake Village,IN,399,3.179,41.1447693,-87.431326
278,CARLISLE PLAZA,US-41,Carlisle,IN,510,3.499,38.9417211,-87.4152071
281,CIRCLE K #4700065,"I-65, EXIT 76 & US-31",Taylorsville,IN,375,3.399,,
347,7-ELEVEN #40514,I-90/80-IN TOLL RD MM 22E,Portage,IN,365,3.99066666,,
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.769,,
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.689,,
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.699,,
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.739,,
368,WILTON TRAVEL PLAZA,"I-87, EXIT 16",Gansevoort                              ,NY,12,3.749,,
368,WILTON TRAVEL PLAZA,"I-87, EXIT 16",Gansevoort                              ,NY,12,3.799,,
372,GAS DEPOT,"I-94, EXIT 5",Hammond,IN,365,3.999,41.5736804,-87.4472794
388,Pilot Travel Centers #14,"I-71, EXIT 131",Sunbury,OH,315,3.719,,
391,PILOT TRAVEL CENTERS #13,"I-71, EXIT 209",Seville,OH,305,3.699,,
403,TRUCKOMAT OF HEBRON,"I-70, EXIT 126 & SR-37",Hebron,OH,315,3.429,,
407,FUEL MART #641,"I-80 & I-280, EXIT 71",Perrysburg                              ,OH,550,3.499,,
456,THE COUNTRY OASIS,US-24,Woodburn                                ,IN,370,3.399,41.1253271,-84.8532963
522,GO MART FOOD STORE #57,"I-70 & ST-285, EXIT 186",Lore City                               ,OH,430,3.179,,
546,PLAZA 30,US-30,Wanatah,IN,365,3.499,41.4340217,-86.9042356
